qid,row_id,state_hash,verdict,label,reviewer,at,kind
intent,0,971213ef1c18ab8c,both_ok,card_arrival|lost_or_stolen_card,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,disputed
intent,22,30758c8f037e78f1,model_right,card_delivery_estimate,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,disputed
intent,35,03bcd8b7749a45a6,confirmed,card_arrival,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
intent,66,8a11ff2729a10956,key_right,card_linking,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,disputed
intent,74,856be6f953035fb8,key_right,card_linking,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,disputed
intent,139,7bdcd2491d85c0b3,confirmed,card_payment_wrong_exchange_rate,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
intent,142,9674d20576ed01e9,confirmed,card_payment_wrong_exchange_rate,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
intent,150,83fc19dbef60b94d,confirmed,card_payment_wrong_exchange_rate,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
intent,219,a79d80b873823a7e,both_ok,pending_cash_withdrawal|declined_cash_withdrawal,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,disputed
intent,288,e5c16940dbc19f7b,confirmed,card_delivery_estimate,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
intent,367,652a92c7a2a41fa4,confirmed,card_not_working,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
intent,379,b390f75a38b0d5bb,both_ok,card_not_working|declined_card_payment,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,disputed
intent,399,a16343749b04fc83,confirmed,card_not_working,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
intent,457,9c678b76a133cf6b,confirmed,lost_or_stolen_card,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
intent,539,206452fdd2c67c9d,confirmed,pin_blocked,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
intent,550,2630e7a073b94742,confirmed,pin_blocked,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
intent,560,295c29c9f34f58b1,labeled,card_acceptance,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
intent,562,514982fa943ba39c,model_right,verify_my_identity,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,disputed
intent,595,afae033b185251c3,confirmed,contactless_not_working,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
intent,602,281aee80205b4bfd,model_right,transfer_fee_charged,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,disputed
intent,621,e82b944b79420930,model_right,receiving_money,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,disputed
intent,641,8b0c5fe408bc821c,both_ok,pending_top_up|top_up_failed,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,disputed
intent,656,0915bca6435db462,confirmed,pending_top_up,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
intent,696,8a902813ea04ee4d,both_ok,cancel_transfer|request_refund,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,disputed
intent,724,1996c1ced96af472,confirmed,top_up_limits,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
intent,729,dc73917c3808bc16,confirmed,top_up_limits,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
intent,773,d30fcdf5f5c775e7,model_right,pending_cash_withdrawal,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,disputed
intent,777,1d292e20b23e5eac,confirmed,wrong_amount_of_cash_received,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
intent,783,68d237d5bc5fedf0,confirmed,wrong_amount_of_cash_received,panel:opus+sonnet+sonnet,2026-09-24T14:44:22+00:00,audit
