qid,row_id,state_hash,verdict,label,reviewer,at,kind
outcome,07b57159#0,7d551998ce8dc54c,labeled,worked,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,09d9abe9#10,2908eaeed55167e5,labeled,failed,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,09d9abe9#12,8a8ca1ce21d040b0,labeled,worked,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,09d9abe9#14,067bda6b0c47a5e4,labeled,failed,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,09d9abe9#15,b297a9326dce7014,labeled,failed,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,09d9abe9#17,ce6610e61563dbe3,labeled,redirected,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,09d9abe9#7,4047221f7995e00e,labeled,failed,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,11ef2190#0,f36be101e74a4a64,labeled,worked,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,17c2cf98#10,9259bf8e59eba116,labeled,worked,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,39082932#7,719b98f77779cf30,labeled,failed,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,3be5ba0c#1,f1c1cf36cb9f8f3e,labeled,worked,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,3be5ba0c#12,1c7fc6e64c6bf72f,labeled,worked,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,3be5ba0c#13,382674920f2b2b6f,labeled,failed,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,4222016d#1,2319d7a83524cec1,labeled,worked,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,4222016d#2,c148f5bacab2c638,labeled,worked,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,4222016d#3,ab2a2ee947e2c74c,labeled,worked,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,4222016d#9,9ecf0919399163e6,labeled,redirected,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,47d9fc04#12,e1d425c987b3084d,labeled,failed,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,47d9fc04#22,f7da911f7a35621d,labeled,unclear,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,47d9fc04#27,991d0abae952e3e6,labeled,failed,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,47d9fc04#37,609f6ec51f98eb6c,labeled,worked,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,47d9fc04#38,6da3e67dc4d3b858,labeled,worked,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,47d9fc04#41,d5cf7d2651f35421,labeled,failed,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,47d9fc04#44,5a49699b28fe4ef5,labeled,failed,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,47d9fc04#47,a761c3c3bf4ad90a,labeled,unclear,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,47d9fc04#50,9c44078db636136e,labeled,failed,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
outcome,47d9fc04#53,2478fb1684b27954,labeled,redirected,panel:opus+sonnet+sonnet,2026-09-24T15:41:26+00:00,audit
